ano;mes;admissoes;até 17;18 a 24;25 a 29;30 a 39;40 a 49;50 a 64;65 ou mais;Mulher;Homem;Fundamental Incompleto;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo
2012;1;1711490;71531;557932;339026;433003;214005;92877;3116;610177;1101313;321636;240725;180311;803768;57103;110947
2012;2;1740062;71703;558805;346711;446764;218706;93981;3392;652807;1087255;311386;234403;184169;796371;57446;156287
2012;3;1881127;79204;622591;373089;474724;230050;98090;3379;702913;1178214;333534;253835;205851;886685;64829;136393
2012;4;1798101;65825;591613;359390;458623;222254;96986;3410;657015;1141086;332613;237966;190015;855677;62429;119401
2012;5;1785075;60701;584147;355114;457650;224621;99013;3829;652332;1132743;349050;238817;185563;839594;60058;111992
2012;6;1732327;56630;560833;345032;447124;220822;98062;3824;639511;1092816;343231;231164;179335;815919;57605;105073
2012;7;1753241;68288;579420;346310;445429;215707;94470;3617;642587;1110654;323121;233682;191467;837180;59346;108445
2012;8;1819767;69626;600065;361384;466163;222814;96266;3449;676591;1143176;315231;239551;198807;867494;63783;134901
2012;9;1664747;59555;550679;331278;428043;204751;87502;2939;612887;1051860;308433;215555;181025;797045;57927;104762
2012;10;1710580;60846;575761;339817;436322;206445;88370;3019;650964;1059616;291428;226491;190171;845246;58067;99177
2012;11;1624306;58111;554516;320475;411452;193385;83479;2888;643063;981243;261655;211137;180980;830655;53990;85889
2012;12;1211216;47970;416126;238154;304619;141768;60416;2163;493090;718126;173621;152572;132827;644584;41937;65675
2013;1;1794272;76012;581548;347240;459181;225560;100956;3775;650568;1143704;311023;244190;191057;872448;57304;118250
2013;2;1774411;75317;562288;345004;463102;225321;99707;3672;685784;1088627;292863;226356;189878;844803;57960;162551
2013;3;1849148;77078;593041;361010;478827;232893;102445;3854;695384;1153764;311698;237689;198910;900072;63465;137314
2013;4;1938169;66948;625354;380037;505229;246483;110033;4085;717792;1220377;335324;249779;201653;953270;65564;132579
